Markup span at (0:0,0 [4] ) (Accepts:Any) - Parent: Tag block at (0:0,0 [4] )
Markup span at (4:0,4 [7] ) (Accepts:Any) - Parent: Markup block at (0:0,0 [247] )
Markup span at (11:0,11 [5] ) (Accepts:Any) - Parent: Tag block at (11:0,11 [5] )
Markup span at (16:0,16 [4] ) (Accepts:Any) - Parent: Markup block at (0:0,0 [247] )
Markup span at (20:2,0 [3] ) (Accepts:Any) - Parent: Tag block at (20:2,0 [3] )
Markup span at (23:2,3 [15] ) (Accepts:Any) - Parent: Markup block at (0:0,0 [247] )
Transition span at (38:2,18 [1] ) (Accepts:None) - Parent: Expression block at (38:2,18 [13] )
Code span at (39:2,19 [12] ) (Accepts:NonWhitespace) - Parent: Expression block at (38:2,18 [13] )
Markup span at (51:2,31 [4] ) (Accepts:Any) - Parent: Tag block at (51:2,31 [4] )
Markup span at (55:2,35 [4] ) (Accepts:Any) - Parent: Markup block at (0:0,0 [247] )
Markup span at (59:4,0 [7] ) (Accepts:Any) - Parent: Tag block at (59:4,0 [44] )
Markup span at (66:4,7 [8] ) (Accepts:Any) - Parent: Markup block at (66:4,7 [24] )
Markup span at (74:4,15 [3] ) (Accepts:Any) - Parent: Markup block at (66:4,7 [24] )
Markup span at (77:4,18 [12] ) (Accepts:Any) - Parent: Markup block at (66:4,7 [24] )
Markup span at (89:4,30 [1] ) (Accepts:Any) - Parent: Markup block at (66:4,7 [24] )
Markup span at (90:4,31 [1] ) (Accepts:Any) - Parent: Tag block at (59:4,0 [44] )
Transition span at (91:4,32 [1] ) (Accepts:None) - Parent: Expression block at (91:4,32 [8] )
Code span at (92:4,33 [7] ) (Accepts:NonWhitespace) - Parent: Expression block at (91:4,32 [8] )
Markup span at (99:4,40 [4] ) (Accepts:Any) - Parent: Tag block at (59:4,0 [44] )
Markup span at (103:4,44 [8] ) (Accepts:Any) - Parent: Markup block at (0:0,0 [247] )
Markup span at (111:4,52 [9] ) (Accepts:Any) - Parent: Tag block at (111:4,52 [9] )
Markup span at (120:4,61 [4] ) (Accepts:Any) - Parent: Markup block at (0:0,0 [247] )
Transition span at (124:6,0 [1] ) (Accepts:None) - Parent: Expression block at (124:6,0 [5] )
Code span at (125:6,1 [4] ) (Accepts:NonWhitespace) - Parent: Expression block at (124:6,0 [5] )
Markup span at (129:6,5 [118] ) (Accepts:Any) - Parent: Markup block at (0:0,0 [247] )
